workbook_row_index,observed_block_code,global_year,global_county,prid__swedish_monetary_financial_institutions_updated_10_january_2025,prid__unnamed_1464_level_1,prid__unnamed_1465_level_1,prid__unnamed_1466_level_1,prid__unnamed_1467_level_1,prid__unnamed_1468_level_1,prid__unnamed_1469_level_1,prid__unnamed_1470_level_1,prid__unnamed_1471_level_1
81,PRID,2006.0,SE122 Södermanland,11681,516411-1683,,Bank,"Nordea Bank Abp, filial i Sverige",Smålandsgatan 15-17,,111 46,Stockholm
82,PRID,2006.0,SE122 Södermanland,47702,516403-7086,,Finance company,"Nordea Finance Equipment AS, Sverige filial",Lindhagensgatan 112,,112 51,Stockholm
83,PRID,2006.0,SE122 Södermanland,41001,556021-1475,529900QSZPL4JOC2IV56,Finance company,Nordea Finans Sverige AB,Lindhagensgatan 112,,112 51,Stockholm
84,PRID,2006.0,SE123 Östergötland,32018,556091-5448,5493000K2HPWIF6MFO29,Housing credit institution,Nordea Hypotek Aktiebolag,Lindhagensgatan 112,,112 51,Stockholm
85,PRID,2006.0,SE123 Östergötland,41539,556760-6032,549300KUVO1BQICBRP39,Finance company,Nordiska kreditmarknadsaktiebolaget (publ),Riddargatan 10,,114 35,Stockholm
86,PRID,2006.0,SE123 Östergötland,11141,516406-0021,549300JSC82O1L4XV837,Bank,Nordnet Bank AB,Alströmergatan 39,,112 47,Stockholm
87,PRID,2006.0,SE123 Östergötland,41511,556597-0513,529900AGWAKUTYNETM62,Bank,Norion Bank AB,Lilla Bommens Torg 11,,411 04,Göteborg
88,PRID,2006.0,SE123 Östergötland,12340,583800-5246,549300GLXMPFAZ0X3N94,Bank,Norrbärke Sparbank,Hamngatan 2,,777 30,Smedjebacken
89,PRID,2006.0,SE123 Östergötland,11654,516405-3786,,Bank,Northern Trust Global Services SE Sweden Bankfilial,Ingmar Bergmans Gata 4,,114 34,Stockholm
90,PRID,2006.0,SE123 Östergötland,44012,556709-4866,2549005TTUFPR93NZP53,Bank,Northmill Bank AB,,Box 3616,103 59,Stockholm
91,PRID,2006.0,SE123 Östergötland,44022,556976-4110,6488VB8T5V27X4KV1106,Finance company,Nstart AB,Birger Jarlsgatan 9,,111 45,Stockholm
92,PRID,2006.0,SE123 Östergötland,41504,556008-0441,549300TNNAXLOF1N0453,Bank,OK-Q8 Bank AB,Sveavägen 155,,113 46,Stockholm
93,PRID,2006.0,SE123 Östergötland,12207,558500-7999,549300EYBVEV0GH5JX66,Bank,Orusts Sparbank,Södra Strandvägen 3,,473 34,Henån
94,PRID,2006.0,SE123 Östergötland,77350,516406-1276,,Bank,Pareto Bank ASA Filial Sverige,,Box 7415,103 91,Stockholm
95,PRID,2006.0,SE123 Östergötland,35122,556206-8956,549300446KJF7NHIXJ61,Other MFI,Pareto Securities AB,Berzelii Park 9,,111 47,Stockholm
96,PRID,2006.0,SE123 Östergötland,41535,556735-5671,5493009VRJ8UQ6WQII86,Finance company,PayEx Sverige AB,S:t Hansplan 1,,621 56,Visby
97,PRID,2006.0,SE123 Östergötland,11667,516406-0914,,Bank,PBB Deutsche Pfandbriefbank AG Stockholm Filial (branch),Mäster Samuelsgatan 42,,111 57,Stockholm
98,PRID,2006.0,SE123 Östergötland,41542,556962-2441,2138006QFV6OJMYQC847,Finance company,Qliro AB,Sveavägen 151,,113 46,Stockholm
99,PRID,2006.0,SE123 Östergötland,80569,559008-9800,549300EAKQN52UB9J551,Bank,Qred Bank AB,Drottninggatan 98,,111 60,Stockholm
