column_index,flattened_name,first_level,second_level,observed_block_code,mapped_variable_code,is_global_key,is_year_like_subcolumn,period_year,period_label,codebook_match
754,rpcyd__2023_4,RPCYD,2023.4,RPCYD,RPCYD,False,True,2023.0,2023,True
755,rpcyd__unnamed_755_level_1,RPCYD,Unnamed: 755_level_1,RPCYD,RPCYD,False,False,,,True
756,rpcyd__unnamed_756_level_1,RPCYD,Unnamed: 756_level_1,RPCYD,RPCYD,False,False,,,True
757,rpcyd__unnamed_757_level_1,RPCYD,Unnamed: 757_level_1,RPCYD,RPCYD,False,False,,,True
758,rpcyd__unnamed_758_level_1,RPCYD,Unnamed: 758_level_1,RPCYD,RPCYD,False,False,,,True
759,rpcyd__2019_5,RPCYD,2019.5,RPCYD,RPCYD,False,True,2019.0,2019,True
760,rpcyd__2020_5,RPCYD,2020.5,RPCYD,RPCYD,False,True,2020.0,2020,True
761,rpcyd__2021_5,RPCYD,2021.5,RPCYD,RPCYD,False,True,2021.0,2021,True
762,rpcyd__2022_5,RPCYD,2022.5,RPCYD,RPCYD,False,True,2022.0,2022,True
763,rpcyd__2023_5,RPCYD,2023.5,RPCYD,RPCYD,False,True,2023.0,2023,True
764,rpcyd__unnamed_764_level_1,RPCYD,Unnamed: 764_level_1,RPCYD,RPCYD,False,False,,,True
765,rpcyd__unnamed_765_level_1,RPCYD,Unnamed: 765_level_1,RPCYD,RPCYD,False,False,,,True
766,rpcyd__unnamed_766_level_1,RPCYD,Unnamed: 766_level_1,RPCYD,RPCYD,False,False,,,True
767,rpcyd__unnamed_767_level_1,RPCYD,Unnamed: 767_level_1,RPCYD,RPCYD,False,False,,,True
768,rpcyd__unnamed_768_level_1,RPCYD,Unnamed: 768_level_1,RPCYD,RPCYD,False,False,,,True
769,rpcyd__mean_income_sek_thousands_3__dup2,RPCYD,"Mean income, SEK thousands.3",RPCYD,RPCYD,False,False,,,True
770,rpcyd__median_value_sek_thousands__dup2,RPCYD,"Median value, SEK thousands",RPCYD,RPCYD,False,False,,,True
771,rpcyd__total_sum_sek_million__dup2,RPCYD,"Total sum, SEK million",RPCYD,RPCYD,False,False,,,True
772,rpcyd__number_of_persons_6,RPCYD,Number of persons.6,RPCYD,RPCYD,False,False,,,True
773,rpcyd__unnamed_773_level_1,RPCYD,Unnamed: 773_level_1,RPCYD,RPCYD,False,False,,,True
774,rpcyd__unnamed_774_level_1,RPCYD,Unnamed: 774_level_1,RPCYD,RPCYD,False,False,,,True
775,rpcyd__unnamed_775_level_1,RPCYD,Unnamed: 775_level_1,RPCYD,RPCYD,False,False,,,True
776,rpcyd__unnamed_776_level_1,RPCYD,Unnamed: 776_level_1,RPCYD,RPCYD,False,False,,,True
777,rpcyd__unnamed_777_level_1,RPCYD,Unnamed: 777_level_1,RPCYD,RPCYD,False,False,,,True
778,rpcyd__unnamed_778_level_1,RPCYD,Unnamed: 778_level_1,RPCYD,RPCYD,False,False,,,True
779,rpcyd__mean_income_sek_thousands_4__dup2,RPCYD,"Mean income, SEK thousands.4",RPCYD,RPCYD,False,False,,,True
780,rpcyd__median_value_sek_thousands_1__dup2,RPCYD,"Median value, SEK thousands.1",RPCYD,RPCYD,False,False,,,True
781,rpcyd__total_sum_sek_million_1__dup2,RPCYD,"Total sum, SEK million.1",RPCYD,RPCYD,False,False,,,True
782,rpcyd__number_of_persons_7,RPCYD,Number of persons.7,RPCYD,RPCYD,False,False,,,True
783,rpcyd__unnamed_783_level_1,RPCYD,Unnamed: 783_level_1,RPCYD,RPCYD,False,False,,,True
784,rpcyd__unnamed_784_level_1,RPCYD,Unnamed: 784_level_1,RPCYD,RPCYD,False,False,,,True
785,rpcyd__unnamed_785_level_1,RPCYD,Unnamed: 785_level_1,RPCYD,RPCYD,False,False,,,True
786,rpcyd__unnamed_786_level_1,RPCYD,Unnamed: 786_level_1,RPCYD,RPCYD,False,False,,,True
787,rpcyd__unnamed_787_level_1,RPCYD,Unnamed: 787_level_1,RPCYD,RPCYD,False,False,,,True
788,rpcyd__mean_income_sek_thousands_5,RPCYD,"Mean income, SEK thousands.5",RPCYD,RPCYD,False,False,,,True
789,rpcyd__median_value_sek_thousands_2__dup2,RPCYD,"Median value, SEK thousands.2",RPCYD,RPCYD,False,False,,,True
790,rpcyd__total_sum_sek_million_2__dup2,RPCYD,"Total sum, SEK million.2",RPCYD,RPCYD,False,False,,,True
